phylum,class,order,family,genus,species,study sample sex,study sample size,body mass (kg),metabolic rate (W),mass-specific metabolic rate (W/kg),brain size (kg),brain size - method
Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,,1,0.01315,,,4.225844e-05,histological reconstruction
Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,,3,1e-04,,,2.25848e-06,histological reconstruction
Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans,,3,3e-04,,,4.43408e-06,histological reconstruction
Chordata,Amphibia,Anura,Ceratobatrachidae,Platymantis,Platymantis vitiensis,,1,3e-04,,,4.93136e-06,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana sylvatica,,3,0.00037,,,8.56772e-06,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,,3,0.0011,,,2.03574e-05,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana clamitans,,3,0.00362,,,3.915044e-05,histological reconstruction
Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,,1,0.03237,,,5.137524e-05,histological reconstruction
Chordata,Amphibia,Anura,Rhionphrynidae,Rhinophrynus,Rhinophrynus dorsalis,,1,0.01657,,,3.292408e-05,histological reconstruction
Arthropoda,Arachnida,Araneae,Ctenidae,Cupiennius,Cupiennius salei,,5,,,,2.50712e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,,5,,,,6.30924e-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theraphosidae,Ephebopus,Ephebopus sp.,,3,,,,3.82284e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,Phidippus regius,,3,,,,2.7454e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,,20,3.9e-05,,,1.22248e-06,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,,13,2.9e-05,,,1.35716e-06,histological reconstruction
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmena,Mysmena sp.,female,1,1e-07,,,4.0404e-09,histological reconstruction
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmenopsis,Mysmenopsis tengellacompa,female,1,3e-07,,,1.87516e-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,female,1,8e-07,,,1.31572e-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,male,1,8e-07,,,1.20176e-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,female,1,3e-06,,,3.39808e-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,male,1,2.4e-06,,,5.51152e-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus sp.,male,1,2.7e-06,,,5.57368e-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Eustala,Eustala illicita,male,1,1.4e-05,,,,
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,female,1,6e-05,,,1.580936e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,male,1,2e-05,,,1.34162e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,female,1,0.00025,,,3.451952e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,female,1,0.002,,,6.6304e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,male,1,1.12e-05,,,1.615124e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,Eratigena atrica,,10,,,,1.37788e-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,male,1,,,,2.4503462158e-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,female,1,,,,2.20232955628e-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,male,1,,,,2.4336333084e-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,female,1,,,,2.29617674552e-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,male,1,,,,2.94616373604e-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,male,1,,,,2.43684882448e-08,micro-CT
