scientific_name,common_name,animal_class,external_taxon_id,match_status,common_name_source,source_candidate_name,candidate_status
Abrothrix andinus,Andean Akodont,Mammal,4265099,confident,GBIF Backbone Taxonomy,Andean Altiplano Mouse,
Abrothrix longipilis,LLong-haired Soft-haired Mouse,Mammal,4265092,confident,GBIF Backbone Taxonomy,Long-haired Soft-haired Mouse,
Abrothrix olivaceus,Hershkovitz's grass mouse,Mammal,4265094,confident,GBIF Backbone Taxonomy,Olive Grass Mouse,
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Bird,2487054,confident,GBIF Backbone Taxonomy,Spiny-cheeked Honeyeater,
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Bird,5230400,confident,GBIF Backbone Taxonomy,Yellow-rumped Thornbill,
Acanthiza ewingii,Tasmanian Thornbill,Bird,5230404,confident,GBIF Backbone Taxonomy,Tasmanian Thornbill,
Acanthiza inornata,Western Thornbill,Bird,5230408,confident,GBIF Backbone Taxonomy,Western Thornbill,
Acanthiza lineata,Striated Thornbill,Bird,5230401,confident,GBIF Backbone Taxonomy,Striated Thornbill,
Acanthiza nana,Little Thornbill,Bird,5230410,confident,GBIF Backbone Taxonomy,Yellow Thornbill,
Acanthiza pusilla,Brown Thornbill,Bird,5230402,confident,GBIF Backbone Taxonomy,Brown Thornbill,
Acanthiza reguloides,Buff-rumped Thornbill,Bird,5230407,confident,GBIF Backbone Taxonomy,Buff-rumped Thornbill,
Acanthiza uropygialis,Chestnut-rumped Thornbill,Bird,5230403,confident,GBIF Backbone Taxonomy,Chestnut-rumped Thornbill,
Acanthoderes circumflexa,,Insect,1107483,unresolved,,,
Acanthorhynchus tenuirostris,Eastern Spinebill,Bird,5230466,confident,GBIF Backbone Taxonomy,Eastern Spinebill,
Acanthosaura armata,Armored Pricklenape,Reptile,9079185,confident,GBIF Backbone Taxonomy,Armored Pricklenape,
Accipiter cirrocephalus,Collared Sparrowhawk,Bird,2480601,confident,GBIF Backbone Taxonomy,Collared Sparrowhawk,
Accipiter fasciatus,Australian goshawk,Bird,2480626,confident,GBIF Backbone Taxonomy,Brown Goshawk,
Accipiter novaehollandiae,Gray Goshawk,Bird,2480629,confident,GBIF Backbone Taxonomy,Grey Goshawk,
Accipiter striatus,Bird Hawk,Bird,9740253,confident,GBIF Backbone Taxonomy,Sharp-shinned Hawk,
Acheta domesticus,Common House Cricket,Insect,1718308,confident,GBIF Backbone Taxonomy,House Cricket,
Acinonyx jubatus,Cheetah,Mammal,2435270,confident,GBIF Backbone Taxonomy,Cheetah,
Acridotheres tristis,Bhat shalik,Bird,2489005,confident,GBIF Backbone Taxonomy,Common Myna,
Acris crepitans,Coastal Cricket Frog,Amphibian,2427616,confident,GBIF Backbone Taxonomy,Blanchard's Cricket Frog,
Acrobates pygmaeus,Dusky Feathertail Glider,Mammal,5219960,confident,GBIF Backbone Taxonomy,Narrow-toed Feather-tailed Glider,
Acrocephalus arundinaceus,Great Reed Warbler,Bird,2493128,confident,GBIF Backbone Taxonomy,Great Reed Warbler,
Acrocephalus bistrigiceps,Black-browed Reed Warbler,Bird,5231332,confident,GBIF Backbone Taxonomy,Black-browed Reed Warbler,
Acrocephalus orientalis,Oriental Reed Warbler,Bird,5817100,confident,GBIF Backbone Taxonomy,Oriental Reed Warbler,
Acrochordus arafurae,Arafura Filesnake,Reptile,2472756,confident,GBIF Backbone Taxonomy,Arafura File Snake,
Acrocinus longimanus,Arlequin,Insect,1118064,confident,GBIF Backbone Taxonomy,Harlequin Beetle,
Acromyrmex echinatior,,Insect,10382684,unresolved,,,
Acrotrichis grandicollis,,Insect,4435736,unresolved,,,
Actitis hypoleucos,,Bird,2481800,unresolved,,Common Sandpiper,
Adeloneivaia boisduvalii,,Insect,1865752,unresolved,,,
Adeloneivaia subungulata,,Insect,1865764,requires_review,,,
Adesmia baccata,,Insect,,unresolved,,,
Aegotheles cristatus,Australian Owlet-Nightjar,Bird,2496782,confident,GBIF Backbone Taxonomy,Australian Owlet-nightjar,
Aepyprymnus rufescens,Rufous Bettong,Mammal,2440030,confident,GBIF Backbone Taxonomy,Rufous Bettong,
Aerodramus terraereginae,Australian Swiftlet,Bird,2477202,confident,GBIF Backbone Taxonomy,Australian Swiftlet,
Aethopyga christinae,Fork-tailed Sunbird,Bird,2484678,confident,GBIF Backbone Taxonomy,Fork-tailed Sunbird,
Aethopyga siparaja,Crimson Sunbird,Bird,2484677,confident,GBIF Backbone Taxonomy,Crimson Sunbird,
Agama agama,Bocourt's Agama,Reptile,5226308,confident,GBIF Backbone Taxonomy,Dragons,
Agama inermis,,Reptile,5225936,unresolved,,Desert Agama,
Agelaia xanthopus,,Insect,1310137,unresolved,,,
Agelenopsis aperta,Desert Grass Spider,Arachnid,2139664,confident,GBIF Backbone Taxonomy,Desert Grass Spider,
Agkistrodon piscivorus,Cotton-mouth,Reptile,9105722,confident,GBIF Backbone Taxonomy,Northern Cottonmouth,
Aglaeactis cupripennis,Shining Sunbeam,Bird,2476308,confident,GBIF Backbone Taxonomy,Shining Sunbeam,
Agouti paca,lowland paca,Mammal,2437587,confident,GBIF Backbone Taxonomy,"Cavies, Agoutis, and Pacas",
Ailuroedus crassirostris,Green Catbird,Bird,2494800,confident,GBIF Backbone Taxonomy,Green Catbird,
Ailuroedus maculosus,Spotted Catbird,Bird,7713122,confident,GBIF Backbone Taxonomy,Spotted Catbird,
Ailurus fulgens,Bear Cat,Mammal,5219446,confident,GBIF Backbone Taxonomy,Red Panda,
Alaskozeres antarcticus,,Arachnid,2189752,requires_review,,,
Alectoris chukar,CHPA,Bird,2474029,confident,GBIF Backbone Taxonomy,Chukar,
Alectura lathami,Australian Brush-turkey,Bird,5229426,confident,GBIF Backbone Taxonomy,Australian Brushturkey,
Alisterus scapularis,Australian King Parrot,Bird,2479925,confident,GBIF Backbone Taxonomy,Australian King Parrot,
Allactaga saliens,,Mammal,2439481,requires_review,,,
Alle alle,Dovekie,Bird,2481299,confident,GBIF Backbone Taxonomy,Darkling Beetles,
Alligator mississippiensis,Alligator,Reptile,2441370,confident,GBIF Backbone Taxonomy,American Alligator,
Alophoixus bres,Brown-cheeked Bulbul,Bird,2486198,confident,GBIF Backbone Taxonomy,Brown-cheeked Bulbul,
Alophoixus ochraceus,Ochraceous Bulbul,Bird,2486195,confident,GBIF Backbone Taxonomy,Ochraceous Bulbul,
Alopochen aegyptiaca,Egyptian Goose,Bird,2498252,confident,GBIF Backbone Taxonomy,Egyptian Goose,
Alopochen aegyptiacus,,Bird,2498252,requires_review,,Egyptian Goose,
Alouatta caraya,Black Howler,Mammal,2436652,confident,GBIF Backbone Taxonomy,Black-and-gold Howler Monkey,
Alouatta palliata,Azuero Peninsula Howler (trabeata),Mammal,2436649,confident,GBIF Backbone Taxonomy,Mantled Howler Monkey,
Amaurornis moluccana,,Bird,7340225,requires_review,,Pale-vented Bush-hen,
Amazilia tzacatl,,Bird,2476441,unresolved,,Rufous-tailed Hummingbird,
Amazona viridigenalis,Green-cheeked Amazon,Bird,2479665,confident,GBIF Backbone Taxonomy,Red-crowned Amazon,
Amblyomma americanum,Lone Star Tick,Arachnid,2184301,confident,GBIF Backbone Taxonomy,Lone Star Tick,
Amblyomma cajenense,,Arachnid,2184178,requires_review,,,
Amblyomma maculatum,Gulf Coast tick,Arachnid,2183996,confident,GBIF Backbone Taxonomy,Gulf Coast Tick,
Amblyornis newtonianus,,Bird,6086429,requires_review,,,
Amblyrhynchus cristatus,Fernandina Marine Iguana,Reptile,5224602,confident,GBIF Backbone Taxonomy,Marine Iguana,
Ameiva sp.,,Reptile,2472026,requires_review,,Ecuadorian Spurred Ameiva,
Amytornis goyderi,Eyrean Grasswren,Bird,2487554,confident,GBIF Backbone Taxonomy,Eyrean Grasswren,
Anachalcos convexus,,Insect,1088928,unresolved,,Plum Dung Beetle,
Anapisona simoni,,Arachnid,2148390,unresolved,,,
Anas acuta,Common Pintail,Bird,2498112,confident,GBIF Backbone Taxonomy,Northern Pintail,
